ts,temperature,humidity,rain,event_type,ap_id,connected_devices,internet_speed,connection_drops,network_delay
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,AP_B01_01,18,31.8,0.03,20.5
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,AP_B02_01,18,28.4,0.03,25.7
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,AP_B06_01,41,62.3,0.15,30.6
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,AP_B02_02,22,37.7,0.04,22.8
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,AP_B07_01,52,79.0,0.24,27.4
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,AP_B08_01,22,36.3,0.04,25.6
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,AP_B01_02,21,34.5,0.04,24.0
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,AP_B04_01,18,30.5,0.03,24.5
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,AP_B04_02,22,37.2,0.04,24.1
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,AP_B03_01,21,34.8,0.04,25.7
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,AP_B03_02,6,9.3,0.0,17.4
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,AP_B05_01,46,70.3,0.19,26.2
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,AP_B08_02,22,33.8,0.04,26.0
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,AP_B06_01,40,60.8,0.14,33.2
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,AP_B01_02,24,38.8,0.05,25.7
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,AP_B03_02,18,28.5,0.03,21.8
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,AP_B04_02,22,37.3,0.04,28.3
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,AP_B04_01,14,23.9,0.02,22.5
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,AP_B07_01,32,48.6,0.09,27.9
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,AP_B02_02,21,36.4,0.04,24.0
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,AP_B02_01,19,33.4,0.03,21.5
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,AP_B08_02,12,21.6,0.01,22.4
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,AP_B03_01,18,31.0,0.03,18.9
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,AP_B05_01,30,46.9,0.08,27.1
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,AP_B01_01,27,42.1,0.06,23.4
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,AP_B08_02,17,26.7,0.03,24.1
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,AP_B07_01,32,49.3,0.09,29.4
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,AP_B08_01,25,41.9,0.06,25.7
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,AP_B05_01,36,56.0,0.12,27.9
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,AP_B06_01,43,68.9,0.16,33.4
